id,loan_status
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,1
54,0
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,0
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,1
123,0
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,0
141,0
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,1
174,1
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,0
184,1
185,0
186,0
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,1
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,0
228,1
229,0
230,1
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,1
279,1
