id,loan_status,term,initial_list_status,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,sub_grade,emp_length,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,recoveries,collection_recovery_fee,tot_cur_bal,total_rev_hi_lim,home_ownershipRENT,home_ownershipMORTGAGE,home_ownershipOTHER,home_ownershipOWN,home_ownershipNONE,purposedebt_consolidation,purposecredit_card,purposehome_improvement,purposesmall_business,purposeother,purposemajor_purchase,purposewedding,purposecar,purposehouse,purposemoving,purposemedical,purposerenewable_energy,purposevacation,purposeeducational,earliest_cr_line2010,earliest_cr_line1990,earliest_cr_line2000,earliest_cr_line1970,earliest_cr_line1980,earliest_cr_line1960,earliest_cr_line1950
1,0,0,1,0.037,0.039,0.046,1.199,-0.178,-0.332,-0.979,-0.542,0.347,-0.353,1.118,-0.264,-0.359,-0.218,-0.737,-0.677,1.056,1.056,-0.259,-0.173,-0.498,0.155,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,1,1,0.630,0.633,0.639,0.978,1.186,-1.357,1.174,0.200,0.545,-0.353,-0.772,-0.264,-0.359,1.402,1.719,0.340,0.751,0.752,-0.259,-0.173,-0.448,0.577,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,0,1,-0.557,-0.555,-0.547,0.537,-0.782,-0.332,1.174,-0.360,-0.387,-0.353,-0.772,-0.264,1.661,-0.771,-1.886,0.001,0.398,0.399,-0.259,-0.173,0.250,-0.380,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0,1,0,-0.319,-0.317,-0.310,0.167,-0.094,-0.560,-0.979,-0.696,-0.449,-0.353,-0.772,-0.264,-0.359,-0.370,1.147,-0.932,-0.730,-0.730,-0.259,-0.173,-0.276,-0.521,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,1,1,0.630,0.633,0.639,-1.006,0.830,0.352,1.174,0.313,-0.604,0.798,-0.772,-0.655,-0.359,-0.426,-0.392,0.340,-0.730,-0.730,-0.259,-0.173,1.030,-0.307,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,1,0,-0.889,-0.887,-0.879,1.245,-0.702,-0.674,-0.710,-0.405,-0.370,0.798,0.173,-0.460,-0.359,-0.625,0.180,-0.932,-0.242,-0.242,-0.259,-0.173,-0.709,-0.645,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,0,1,0,-0.794,-0.792,-0.787,-1.006,-0.743,-1.015,0.097,-0.438,-0.358,-0.353,-0.772,-0.655,-0.359,-0.124,-0.960,-0.508,-0.730,-0.730,-0.259,-0.173,0.129,0.493,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,0,1,-0.468,-0.466,-0.458,0.121,-0.751,-0.560,1.174,-0.867,-0.632,-0.353,-0.772,-0.850,-0.359,-0.215,0.512,-0.592,-0.730,-0.730,-0.259,-0.173,-0.725,-0.296,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,1,0,1,0.034,0.036,0.043,2.475,0.022,-0.560,1.174,-0.427,1.119,-0.353,0.173,-0.655,-0.359,-0.710,-1.629,-0.084,1.080,1.080,-0.259,-0.173,-0.411,-0.342,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,0,1,0,-0.082,-0.080,-0.141,-1.552,-0.022,1.491,-0.172,-0.248,-0.099,-0.353,-0.772,-1.241,-0.359,-0.063,-0.291,-0.847,-0.730,-0.730,-0.259,-0.173,-0.808,-0.898,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,1,1,-0.497,-0.495,-0.487,-1.528,-0.463,0.694,1.174,0.021,-1.668,-0.353,0.173,-1.241,-0.359,-0.187,-1.141,-0.169,-0.730,-0.730,-0.259,-0.173,0.843,0.718,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,1,0,0,-0.515,-0.513,-0.505,1.337,-0.663,-1.243,-0.710,-0.472,-0.026,-0.353,0.173,-0.069,-0.359,-0.318,-0.094,-0.932,-0.730,-0.730,0.274,-0.142,-0.808,-0.898,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
